distance,consume,speed,temp_inside,temp_outside,gas_type,ac,rain,sun,temp_diff,trip_consume,trip_cost
4.2,6.0,26,21.5,5,SP98,0,0,0,16.5,0.252,0.36791999999999997
17.4,5.1,30,21.5,5,SP98,0,0,0,16.5,0.8873999999999999,1.2956039999999998
23.5,6.0,25,21.5,5,SP98,0,1,0,16.5,1.41,2.0585999999999998
11.8,4.5,38,21.5,5,SP98,0,1,0,16.5,0.531,0.7752600000000001
12.3,6.1,61,21.5,10,SP98,0,1,0,11.5,0.7503000000000001,1.0954380000000001
16.1,5.4,24,21.5,7,E10,0,1,0,14.5,0.8694000000000002,1.199772
11.8,4.3,40,21.5,10,E10,0,1,0,11.5,0.5074,0.700212
12.3,5.4,58,21.5,13,E10,0,0,0,8.5,0.6642000000000001,0.9165960000000001
12.4,4.3,49,21.5,17,E10,0,0,0,4.5,0.5332,0.7358159999999999
7.0,5.2,25,21.5,17,E10,0,0,0,4.5,0.36400000000000005,0.50232
11.8,4.1,37,21.5,10,E10,0,0,0,11.5,0.48379999999999995,0.6676439999999999
20.1,4.4,41,21.5,18,E10,0,0,0,3.5,0.8844000000000002,1.2204720000000002
20.8,4.5,45,21.5,10,E10,0,0,0,11.5,0.9359999999999999,1.2916799999999997
1.7,10.8,14,21.5,10,E10,0,1,0,11.5,0.1836,0.253368
35.9,4.7,45,21.5,12,E10,0,0,0,9.5,1.6873,2.328474
36.9,4.8,52,21.5,5,E10,0,0,0,16.5,1.7711999999999999,2.4442559999999998
16.8,4.0,46,21.5,8,E10,0,0,0,13.5,0.672,0.92736
9.9,5.0,28,21.5,9,E10,0,0,0,12.5,0.49500000000000005,0.6831
22.9,4.6,61,21.5,7,E10,0,1,0,14.5,1.0534,1.4536919999999998
17.3,5.0,61,21.5,6,E10,1,1,0,15.5,0.8650000000000001,1.1937
11.8,4.3,37,21.5,7,E10,0,0,0,14.5,0.5074,0.700212
36.6,5.2,80,21.5,7,E10,0,1,0,14.5,1.9032000000000002,2.6264160000000003
44.9,4.7,62,21.5,8,E10,0,0,0,13.5,2.1103,2.912214
11.8,4.2,34,21.5,9,E10,0,1,0,12.5,0.49560000000000004,0.683928
